0x8135e0 sub_8135E0
0x813a30 sub_813A30
0x813ab0 sub_813AB0
0x813b10 sub_813B10
0x813d80 sub_813D80
0x8141d0 sub_8141D0
0x8142b0 sub_8142B0
0x814540 sub_814540
0x8145a0 sub_8145A0
0x814610 sub_814610
0x814680 sub_814680
0x8148f0 sub_8148F0
0x814960 FFX_MagicCoreOp_54_MatrixDrawSubmit
0x814a20 sub_814A20
0x814b60 sub_814B60
0x814df0 sub_814DF0
0x814e80 sub_814E80
0x814fb0 sub_814FB0
0x815060 sub_815060
0x8150f0 sub_8150F0
0x8151a0 FFX_MagicPostProc_00_NormalizeRecordRgba
0x815270 FFX_MagicPostProc_06_LerpBetweenRecordTransforms
0x8154a0 sub_8154A0
0x815700 sub_815700
0x8157c0 sub_8157C0
0x815860 sub_815860
0x8158b0 sub_8158B0
0x8158f0 sub_8158F0
0x815ee0 sub_815EE0
0x815f60 sub_815F60
0x815fd0 sub_815FD0
0x816060 FFX_BtlTick_GetModelProcessingDelay
0x8160b0 FFX_MagicCoreOp_C9_SphericalPlacement
0x816180 sub_816180
0x816340 sub_816340
0x816710 sub_816710
0x816750 sub_816750
0x8167c0 FFX_MagicCoreOp_C0_GlobalMagicSwitch
0x8168f0 sub_8168F0
0x8169b0 sub_8169B0
0x8169f0 FFX_MagicCoreOp_02_RelJump
0x816a00 sub_816A00
0x816f90 sub_816F90
0x817200 FFX_MagicTimeline_WriteRoot84_88_structural
0x8172e0 sub_8172E0
0x817390 FFX_MagicCoreOp_33_SetRecordField26
0x8173b0 FFX_MagicCoreOp_57_NoOpAdvance2
0x8173c0 sub_8173C0
0x8173f0 sub_8173F0
0x817440 FFX_MagicCoreOp_1E_SetRecordParamByte
0x8175b0 FFX_MagicCoreOp_4F_RecordFlag178Toggle
0x817670 sub_817670
0x8176d0 sub_8176D0
0x817830 FFX_MagicCoreOp_05_RootFlagWord772Branch
0x817930 FFX_MagicCoreOp_2F_RecordFlag176Branch
0x817a30 sub_817A30
0x817af0 FFX_MagicCoreOp_2E_RecordFlag176Branch
0x817c10 sub_817C10
0x817d70 sub_817D70
0x817e00 sub_817E00
0x817f60 sub_817F60
0x817fa0 sub_817FA0
0x818020 sub_818020
0x818090 sub_818090
0x818250 FFX_MagicCoreOp_6E_FloatRangeBranch
0x818340 sub_818340
0x818430 sub_818430
0x818550 FFX_MagicCoreOp_0A_SoundParamSetup_candidate
0x8188f0 sub_8188F0
0x818b70 sub_818B70
0x818f00 sub_818F00
0x819010 sub_819010
0x819220 sub_819220
0x819590 sub_819590
0x819a80 sub_819A80
0x819b60 sub_819B60
0x819c30 sub_819C30
0x819dd0 sub_819DD0
0x81a110 FFX_MagicCoreOp_D6_ParamAccumThenPostProc
0x81a5e0 sub_81A5E0
0x81ad10 sub_81AD10
0x81ad20 sub_81AD20
0x81b0b0 sub_81B0B0
0x81b280 sub_81B280
0x81b2c0 sub_81B2C0
0x81b2f0 sub_81B2F0
0x81b340 sub_81B340
0x81b380 sub_81B380
0x81b3c0 sub_81B3C0
0x81b410 sub_81B410
0x81b4f0 sub_81B4F0
0x81b5e0 FFX_MagicCoreOp_5A_RecordFieldScaleWrite
0x81b670 sub_81B670
0x81b9e0 FFX_MagicCoreOp_24_RecordAnimSetup
0x81bac0 sub_81BAC0
0x81bcd0 sub_81BCD0
0x81c000 sub_81C000
0x81c250 sub_81C250
0x81c270 sub_81C270
0x81c370 sub_81C370
0x81c3b0 sub_81C3B0
0x81c570 sub_81C570
0x81c600 sub_81C600
0x81cb30 sub_81CB30
0x81cb70 sub_81CB70
0x81cce0 sub_81CCE0
0x81cd30 sub_81CD30
0x81cd80 sub_81CD80
0x81cf80 sub_81CF80
0x81d000 sub_81D000
0x81d050 sub_81D050
0x81d0a0 sub_81D0A0
0x81d0e0 sub_81D0E0
0x81d3f0 sub_81D3F0
0x81d400 sub_81D400
0x81d410 sub_81D410
0x81d420 sub_81D420
0x81d430 sub_81D430
0x81d440 sub_81D440
0x81d450 sub_81D450
0x81d4d0 sub_81D4D0
0x81d500 sub_81D500
0x81d580 sub_81D580
0x81d700 sub_81D700
0x81d810 sub_81D810
0x81d820 sub_81D820
0x81d930 sub_81D930
0x81e370 sub_81E370
0x81e3e0 sub_81E3E0
0x81e4c0 sub_81E4C0
0x81e4f0 sub_81E4F0
0x81e520 sub_81E520
0x81e570 FFX_Sfx_SetVolumeRaw
0x81e590 sub_81E590
0x81e5b0 sub_81E5B0
0x81e5d0 sub_81E5D0
0x81e5f0 FFX_Sound_PlaySfx
0x81e6e0 sub_81E6E0
0x81e710 sub_81E710
0x81e860 sub_81E860
0x81e8b0 sub_81E8B0
0x81e8d0 sub_81E8D0
0x81e930 FFX_Sfx_SetParamRaw
0x81e950 sub_81E950
0x81e970 sub_81E970
0x81ea10 sub_81EA10
0x81eb10 sub_81EB10
0x81ebc0 sub_81EBC0
0x81ed30 sub_81ED30
0x81edc0 sub_81EDC0
0x81ee50 sub_81EE50
0x81ef00 sub_81EF00
0x81ef30 sub_81EF30
0x81efc0 sub_81EFC0
0x81f000 sub_81F000
0x81f060 sub_81F060
0x81f0e0 sub_81F0E0
0x81f270 sub_81F270
0x81f320 sub_81F320
0x81f660 sub_81F660
0x81f7d0 sub_81F7D0
0x81f870 sub_81F870
0x81f880 sub_81F880
0x81f910 sub_81F910
0x81fb10 sub_81FB10
0x81fdc0 sub_81FDC0
0x81fde0 sub_81FDE0
0x81fe40 sub_81FE40
0x820090 sub_820090
0x8203e0 sub_8203E0
0x8203f0 sub_8203F0
0x820420 sub_820420
0x820470 sub_820470
0x820490 FFX_BtlActor_FSM_SetGlobalDeathFlag
0x8204b0 sub_8204B0
0x8204d0 sub_8204D0
0x8204f0 sub_8204F0
0x820510 sub_820510
0x830130 sub_830130
0x830150 sub_830150
0x830160 sub_830160
0x830170 sub_830170
0x830180 sub_830180
0x8301a0 sub_8301A0
0x8301c0 sub_8301C0
0x8301d0 sub_8301D0
0x8301e0 sub_8301E0
0x830200 sub_830200
0x840030 sub_840030
0x840120 sub_840120
0x840150 sub_840150
0x840250 sub_840250
0x840440 sub_840440
0x840510 sub_840510
0x840560 sub_840560
0x8405b0 sub_8405B0
0x8405f0 sub_8405F0
0x840680 sub_840680
0x850590 sub_850590
0x8506a0 sub_8506A0
0x850770 sub_850770
0x850820 sub_850820
0x850830 sub_850830
0x850850 sub_850850
0x8508a0 sub_8508A0
0x8508f0 sub_8508F0
0x850940 sub_850940
0x8509e0 sub_8509E0
0x860040 sub_860040
0x8600d0 sub_8600D0
0x8600e0 sub_8600E0
0x860100 sub_860100
0x860130 sub_860130
0x860170 sub_860170
0x8601b0 sub_8601B0
0x860210 sub_860210
0x860220 sub_860220
0x8602a0 sub_8602A0
0x870060 sub_870060
0x870070 sub_870070
0x870080 sub_870080
0x8700d0 sub_8700D0
0x8700e0 sub_8700E0
0x870100 sub_870100
0x870130 sub_870130
0x870160 sub_870160
0x870190 sub_870190
0x8701f0 sub_8701F0
0x880730 sub_880730
0x881b60 sub_881B60
0x881d90 sub_881D90
0x881f50 sub_881F50
0x882010 sub_882010
0x882230 sub_882230
0x882720 sub_882720
0x8827f0 sub_8827F0
0x882900 sub_882900
0x882a30 sub_882A30
0x890290 sub_890290
0x890340 sub_890340
0x890450 sub_890450
0x890470 sub_890470
0x890640 sub_890640
0x890de0 sub_890DE0
0x890e10 sub_890E10
0x890e20 sub_890E20
0x890e30 sub_890E30
0x890e40 sub_890E40
0x890e60 FFX_BtlQueue_ClearDelayTimer
0x890e70 sub_890E70
0x890e80 sub_890E80
0x890ea0 FFX_Btl_HudRotationAngleTick
0x890ee0 FFX_Btl_SubmenuStateMachine
0x8910b0 FFX_Btl_HudRefreshPartyArrays
0x891190 FFX_Btl_HudOvrGaugeTick
0x891250 FFX_Btl_SubmenuContextCommandDisplay
0x8913f0 FFX_Btl_UI_Overdrive_DetectReadyActor
0x8914f0 FFX_Btl_UI_Overdrive_AnimateGauge
0x8919a0 FFX_Btl_HudSubmenuTransitionTick
0x891a30 FFX_Btl_HudShimmerScrollUpdate
0x891af0 FFX_Btl_HudAnimationTickAll
0x892040 FFX_Btl_SubmenuRefresh
0x892290 FFX_Btl_SubmenuShimmerNavTick
0x892500 sub_892500
0x8926b0 sub_8926B0
0x8927e0 FFX_BtlQueue_ActorActionEvent
0x892820 sub_892820
0x892880 sub_892880
0x892c20 sub_892C20
0x893200 sub_893200
0x893330 sub_893330
0x893440 FFX_BtlQueue_SimpleEvent_3003
0x893460 FFX_BtlQueue_SimpleEvent_3002
0x893480 FFX_BtlQueue_TargetedActionEvent
0x893560 FFX_BtlQueue_KernelStringActionEvent
0x8935d0 FFX_BtlQueue_SignedActionEvent
0x893640 sub_893640
0x8939a0 FFX_BtlUI_DrawScanTargetInfoPanel
0x894ab0 FFX_BtlUI_DrawScanElementResistRow_4ElemHardcoded
0x8950b0 sub_8950B0
0x8951b0 FFX_BtlUI_DrawScanStatusRow
0x895290 FFX_BtlQueue_CommandActionEvent
0x895300 sub_895300
0x8953f0 FFX_Btl_DrawOverdriveGaugeFill
0x895550 sub_895550
0x8955d0 sub_8955D0
0x8958b0 sub_8958B0
0x895a50 sub_895A50
0x896050 FFX_Menu2D_DrawProgressBar
0x8963c0 FFX_BtlUI_RenderPartyStatusDetail
0x897170 FFX_BtlQueue_ShowStandardActionEvent
0x8971b0 sub_8971B0
0x897410 sub_897410
0x897510 sub_897510
0x8975c0 FFX_GetActorElementCategoryMask_Switch4
0x897660 sub_897660
0x8976e0 sub_8976E0
0x8976f0 sub_8976F0
0x897730 sub_897730
0x897750 sub_897750
0x897760 sub_897760
0x8977d0 sub_8977D0
0x8978e0 FFX_Btl_SubmenuInitTargeting
0x897940 sub_897940
0x897a60 sub_897A60
0x897b20 sub_897B20
0x897b40 sub_897B40
0x897d30 sub_897D30
0x897e70 FFX_BtlHud_ShimmerResetAll
0x897ee0 FFX_Btl_SubmenuCursorInit
0x897f80 FFX_Battle_SubmenuOvrRowBuild
0x8980f0 FFX_Btl_SubmenuSliderInit
0x8981a0 sub_8981A0
0x8981d0 FFX_Btl_UI_BuildOverdriveSubcommandList
0x8982a0 sub_8982A0
0x898360 sub_898360
0x898400 sub_898400
0x898520 sub_898520
0x8985b0 sub_8985B0
0x898940 sub_898940
0x898a40 FFX_Btl_SubmenuSetupTargeting
0x898b30 sub_898B30
0x898b40 sub_898B40
0x898b60 FFX_Btl_SubmenuSetupCursor
0x898bd0 sub_898BD0
0x898c10 FFX_Btl_SubmenuSetupSlider
0x898d30 sub_898D30
0x898d60 FFX_BtlMenu_ScrollDown
0x898d90 FFX_BtlMenu_ScrollUp
0x899060 sub_899060
0x899730 sub_899730
0x8997e0 sub_8997E0
0x8998e0 sub_8998E0
0x899960 sub_899960
0x8999b0 sub_8999B0
0x899a30 sub_899A30
0x899e30 sub_899E30
0x899e90 FFX_Btl_UI_Overdrive_ResetGaugeToActor
0x899f40 FFX_Btl_UI_Overdrive_InitGaugeForActor
0x89a0d0 sub_89A0D0
0x89a210 sub_89A210
0x89a240 sub_89A240
0x89a260 sub_89A260
0x89a2a0 sub_89A2A0
0x89a5a0 FFX_Btl_MenuPopSubmenuEntry
0x89a7d0 sub_89A7D0
0x89a820 sub_89A820
0x89aa90 FFX_BtlHud_ShimmerStopOnEntry
0x89aac0 FFX_BtlHud_ShimmerStart
0x89aaf0 sub_89AAF0
0x89ab10 FFX_BtlHud_ShimmerStopOnExit
0x89ab40 sub_89AB40
0x89ac10 sub_89AC10
0x89ad00 sub_89AD00
0x89ad50 FFX_Btl_MenuCursorResetGlobals
0x89ad90 FFX_BtlTick_UI_AllHudAndSubmenuTick
0x89af30 FFX_Btl_SubmenuBuildCommandList
0x89b0b0 sub_89B0B0
0x89b140 sub_89B140
0x89b1a0 sub_89B1A0
0x89b200 sub_89B200
0x89b2d0 FFX_BtlUI_RenderBattleHudRoot_CallsScanPanel
0x89b500 sub_89B500
0x89b510 sub_89B510
0x89b5d0 sub_89B5D0
0x89ba80 FFX_Btl_UI_OpenSubmenu
0x89bbd0 sub_89BBD0
0x89bbf0 sub_89BBF0
0x89bee0 sub_89BEE0
0x89c740 sub_89C740
0x89c7e0 sub_89C7E0
0x89c870 FFX_Btl_MenuCursorNavigate
0x89cd50 sub_89CD50
0x89d300 sub_89D300
0x89d580 sub_89D580
0x89d920 sub_89D920
0x89db10 sub_89DB10
0x89db80 sub_89DB80
0x89dbb0 sub_89DBB0
0x89dd50 sub_89DD50
0x89dda0 sub_89DDA0
0x89de30 sub_89DE30
0x89df10 sub_89DF10
0x89e060 sub_89E060
0x89e2d0 sub_89E2D0
0x89e460 sub_89E460
0x89e570 sub_89E570
0x89e5d0 sub_89E5D0
0x89ec70 sub_89EC70
0x89f070 sub_89F070
0x89f300 sub_89F300
0x8a0236 sub_8A0236
0x8a0520 sub_8A0520
0x8a0b30 sub_8A0B30
0x8a0c60 sub_8A0C60
0x8a0c70 sub_8A0C70
0x8a0d70 sub_8A0D70
0x8a1020 sub_8A1020
0x8a1060 sub_8A1060
0x8a1660 sub_8A1660
0x8a1c70 sub_8A1C70
0x8b0050 sub_8B0050
0x8b02f0 sub_8B02F0
0x8b03f0 sub_8B03F0
0x8b04b0 sub_8B04B0
0x8b08d0 sub_8B08D0
0x8b0920 sub_8B0920
0x8b0960 sub_8B0960
0x8b0ac0 sub_8B0AC0
0x8b0d50 sub_8B0D50
0x8b0fd0 sub_8B0FD0
0x8c0220 sub_8C0220
0x8c0550 sub_8C0550
0x8c0640 sub_8C0640
0x8c0900 sub_8C0900
0x8c09e0 sub_8C09E0
0x8c09f0 sub_8C09F0
0x8c0bb0 sub_8C0BB0
0x8c0c10 sub_8C0C10
0x8c0c20 sub_8C0C20
0x8c0c90 sub_8C0C90
0x8d00d0 sub_8D00D0
0x8d0140 sub_8D0140
0x8d0220 sub_8D0220
0x8d02b0 sub_8D02B0
0x8d0400 sub_8D0400
0x8d0430 sub_8D0430
0x8d0980 sub_8D0980
0x8d09e0 sub_8D09E0
0x8d09f0 sub_8D09F0
0x8d0c40 sub_8D0C40
0x8e01a0 FFX_Btl_DialogueStateEntry
0x8e0270 sub_8E0270
0x8e02b0 FFX_Btl_DialogueTextComplete
0x8e02e0 sub_8E02E0
0x8e0340 sub_8E0340
0x8e0ba0 sub_8E0BA0
0x8e1910 sub_8E1910
0x8e19b0 sub_8E19B0
0x8e19d0 sub_8E19D0
0x8e19f0 sub_8E19F0
0x8e1c50 sub_8E1C50
0x8e1c60 sub_8E1C60
0x8e2040 sub_8E2040
0x8e20f0 sub_8E20F0
0x8e2250 sub_8E2250
0x8e2260 sub_8E2260
0x8e2270 sub_8E2270
0x8e2280 sub_8E2280
0x8e2290 sub_8E2290
0x8e22a0 sub_8E22A0
0x8e24c0 sub_8E24C0
0x8e2630 sub_8E2630
0x8e26d0 sub_8E26D0
0x8e2720 sub_8E2720
0x8e2790 sub_8E2790
0x8e27b0 sub_8E27B0
0x8e27c0 sub_8E27C0
0x8e27d0 sub_8E27D0
0x8e27e0 sub_8E27E0
0x8e2870 sub_8E2870
0x8e28e0 sub_8E28E0
0x8e2910 sub_8E2910
0x8e2930 sub_8E2930
0x8e2960 sub_8E2960
0x8e2ad0 sub_8E2AD0
0x8e2b10 sub_8E2B10
0x8e2b30 sub_8E2B30
0x8e2b60 sub_8E2B60
0x8e2d50 sub_8E2D50
0x8e2d60 sub_8E2D60
0x8e2dd0 sub_8E2DD0
0x8e2de0 sub_8E2DE0
0x8e2e20 sub_8E2E20
